book_id,original_title,norm_title
17611217,"Buffy the Vampire Slayer: Welcome to the Team, Part 4 (Season 9, #19)","buffy the vampire slayer: welcome to the team, part 4 (season 9, #19)"
34315065,Hiyokoi 12,hiyokoi 12
7961572,卒業生 - 冬 - [Sotsugyousei - Fuyu -],卒業生 - 冬 - [sotsugyousei - fuyu -]
7961571,The Amazing Screw-on Head and Other Curious Objects,the amazing screw-on head and other curious objects
1076048,"Sugar Sugar Rune, Volume 7 (Sugar Sugar Rune, #7)","sugar sugar rune, volume 7 (sugar sugar rune, #7)"
24694893,Beelzebub Vol. 18,beelzebub vol. 18
32048020,Black Panther #6,black panther #6
32048022,All-New X-Men (2015-) #13,all-new x-men (2015-) #13
6536205,The Lost Scrolls: Air,the lost scrolls: air
22045574,Batman Eternal #3,batman eternal #3
380783,Kurt Cobain: El ángel errático,kurt cobain: el ángel errático
24563723,Satellite Sam: Volume Three: Satellite Sam and the Limestone Caves of Fire,satellite sam: volume three: satellite sam and the limestone caves of fire
29911803,Illuminati (2015-) #6,illuminati (2015-) #6
1865292,A Peanuts Book Featuring Snoopy,a peanuts book featuring snoopy
34381388,Lies We Tell Our Kids,lies we tell our kids
10459243,GHOSTS DOCTOR vol. 01,ghosts doctor vol. 01
18759997,Il Nao di Brown,il nao di brown
6523746,A.B.C. Warriors: The Meknificent Seven (2000 Ad),a.b.c. warriors: the meknificent seven (2000 ad)
6523745,Rogue Trooper: To The Ends Of Nu Earth,rogue trooper: to the ends of nu earth
307631,"Big Ideas: Explanations, True Stories, Love, Nutrition, Advice, and More","big ideas: explanations, true stories, love, nutrition, advice, and more"
13423869,Batman/Huntress: Cry for Blood,batman/huntress: cry for blood
24113679,Wet Moon Volume 5: Where All Stars Fail To Burn,wet moon volume 5: where all stars fail to burn
10213276,"Hunter X Hunter, Tome 27","hunter x hunter, tome 27"
6303498,"Mixed Vegetables, Vol. 5 (Mixed Vegetables, #5)","mixed vegetables, vol. 5 (mixed vegetables, #5)"
6303499,"Mixed Vegetables, Vol. 4 (Mixed Vegetables, #4)","mixed vegetables, vol. 4 (mixed vegetables, #4)"
26185012,Chi une vie de chat,chi une vie de chat
23492460,"Love Stage!!, Vol. 3","love stage!!, vol. 3"
23492461,"Kamisama Kiss, Vol. 18","kamisama kiss, vol. 18"
23492462,"Case Closed, Vol. 55","case closed, vol. 55"
23492467,"Bleach (3-in-1 Edition), Vol. 12: Includes vols. 34, 35  36","bleach (3-in-1 edition), vol. 12: includes vols. 34, 35 36"
977598,Vikramaditya's Throne,vikramaditya's throne
28537390,All-New X-Men (2015-) #3,all-new x-men (2015-) #3
24045997,"ＧＥ～グッドエンディング～0１ [Guddo Endingu 01] (GE: Good Ending, #1)","ｇｅ～グッドエンディング～0１ [guddo endingu 01] (ge: good ending, #1)"
13260899,Cul de Sac: The Mighty Alice,cul de sac: the mighty alice
29906637,Rise of the Planet of the Apes Prequel: Chapter 3,rise of the planet of the apes prequel: chapter 3
13260895,Scribbles at an Exhibition,scribbles at an exhibition
2319846,"Star Trek: Alien Spotlight, Vol. 1","star trek: alien spotlight, vol. 1"
2319845,Star Trek: The Next Generation - Intelligence Gathering,star trek: the next generation - intelligence gathering
16153581,Les vacances de Jésus et Bouddha (4),les vacances de jésus et bouddha (4)
13224374,Our Sentence is Up: Seeing Grant Morrison's The Invisibles,our sentence is up: seeing grant morrison's the invisibles
363149,The Crow: City of Angels,the crow: city of angels
204015,Introducing Postmodernism,introducing postmodernism
23519146,"Stand Still, Stay Silent: Book 1","stand still, stay silent: book 1"
29840112,Bob's Burgers: Pan Fried,bob's burgers: pan fried
18772687,"The Minish Cap (The Legend of Zelda, #5)","the minish cap (the legend of zelda, #5)"
12866161,"Bleach, Volume 39","bleach, volume 39"
25692158,"Innocent, tome 1","innocent, tome 1"
16005492,"Branded (Branded, #1)","branded (branded, #1)"
15331682,La lunga strada verso casa,la lunga strada verso casa
12176944,The Girl Who Owned a City,the girl who owned a city
34435117,"Shade, The Changing Girl (2016-) #6","shade, the changing girl (2016-) #6"
34435116,Green Arrow (2016-) #18,green arrow (2016-) #18
34435114,Aquaman (2016-) #18,aquaman (2016-) #18
12049448,Annihilators,annihilators
1992627,Shakespeare's Hamlet: The Manga Edition,shakespeare's hamlet: the manga edition
22864590,"The Dreamer, Vol. 3: The Battle of Harlem Heights","the dreamer, vol. 3: the battle of harlem heights"
31916036,Surgeon X #1,surgeon x #1
32018139,Superman: The Final Days of Superman,superman: the final days of superman
32018137,"Hellblazer, Volume 16: The Wild Card","hellblazer, volume 16: the wild card"
20517169,"Please Save My Earth, tome 20","please save my earth, tome 20"
18758969,"Storm 28: De race van Opaal (De Kronieken van Pandarve, #19)","storm 28: de race van opaal (de kronieken van pandarve, #19)"
11991768,When Love is Blooming,when love is blooming
23012586,"Green Arrow, Volume 6: Broken","green arrow, volume 6: broken"
34972217,The Kamandi Challenge (2017-) #4,the kamandi challenge (2017-) #4
6084526,The Best Of 'Wimmen's Comix' And Other Comix By Women,the best of 'wimmen's comix' and other comix by women
25937303,"がっこうぐらし！ (6) [Gakkou Gurashi!, Vol. 6] (Gakkou Gurashi!, #6)","がっこうぐらし！ (6) [gakkou gurashi!, vol. 6] (gakkou gurashi!, #6)"
25882916,"Le Sarcophage (Eternum, #1)","le sarcophage (eternum, #1)"
969604,50 Robots to Draw & Paint,50 robots to draw & paint
7856539,Stop Staring: Facial Modeling and Animation Done Right,stop staring: facial modeling and animation done right
10809463,Marvel Boy,marvel boy
12149703,Ioen (Finsternis #1),ioen (finsternis #1)
12149706,Im Bann der Hexer: Eine indianische Sage,im bann der hexer: eine indianische sage
144204,"Love and Rockets, Vol. 8: Blood of Palomar","love and rockets, vol. 8: blood of palomar"
25941424,Demolidor: Revelado,demolidor: revelado
33283409,Death of Hawkman (2016-) #3,death of hawkman (2016-) #3
25832435,The Unbeatable Squirrel Girl #7,the unbeatable squirrel girl #7
20747394,¡La vida es juego! (Brujeando #3),¡la vida es juego! (brujeando #3)
23941553,Eine Nautische Fabel,eine nautische fabel
19730566,The Shadow 1941: Hitler's Astrologer HC,the shadow 1941: hitler's astrologer hc
10234027,Hämiksen nuoruus VII,hämiksen nuoruus vii
13415251,Love and Trap,love and trap
3436214,Polly Price's Totally Secret Diary: On Stage in America,polly price's totally secret diary: on stage in america
20256652,The Complete Adventures of Johnny Mutton,the complete adventures of johnny mutton
5626060,"Hulk, Volume 1: Red Hulk","hulk, volume 1: red hulk"
29429693,"What Did You Eat Yesterday?, Volume 11","what did you eat yesterday?, volume 11"
18898360,Nightwing #25,nightwing #25
179171,The Red Sea Sharks,the red sea sharks
179173,The Valley Of The Cobras,the valley of the cobras
179172,"Destination Moon (Tintin, #16)","destination moon (tintin, #16)"
179174,"The Secret of the Unicorn (Tintin, #11)","the secret of the unicorn (tintin, #11)"
22015649,Can't We Talk about Something More Pleasant?,can't we talk about something more pleasant?
3360694,How to Draw and Sell-- Comic Strips-- For Newspapers and Comic Books!,how to draw and sell-- comic strips-- for newspapers and comic books!
7639880,Detective School Q Vol. 3,detective school q vol. 3
10441828,"Sin City: Ida y vuelta al Infierno, 2 de 3","sin city: ida y vuelta al infierno, 2 de 3"
31205277,Hellboy: Weird Tales #1 (Hellboy Vol. 1),hellboy: weird tales #1 (hellboy vol. 1)
25110232,"Hide and Seek, Vol. 3","hide and seek, vol. 3"
32333131,Amazing World of Gumball Original Graphic Novel: Recipe  for Disaster: Recipe for Disaster,amazing world of gumball original graphic novel: recipe for disaster: recipe for disaster
26109239,Brody's Ghost Collected Edition,brody's ghost collected edition
447118,The Three Little Pigs Buy the White House,the three little pigs buy the white house
12490514,The Breaker Volume 10,the breaker volume 10
12490512,The Breaker Volume 9,the breaker volume 9
34852851,Shiver: Junji Ito Selected Stories,shiver: junji ito selected stories
34852852,Misfit City Vol. 1,misfit city vol. 1
19759680,Suicide Squad #17,suicide squad #17
20575749,Psychic Detective Yakumo : Alternate Story 5,psychic detective yakumo : alternate story 5
8597485,Little Jones (XIII Mystery #3),little jones (xiii mystery #3)
13350855,Gentleman's Agreement Between a Rabbit and a Wolf,gentleman's agreement between a rabbit and a wolf
1153248,Salty-dog I,salty-dog i
18687142,うそつきリリィ 12 [Usotsuki Lily 12],うそつきリリィ 12 [usotsuki lily 12]
20819648,Jim's Lion,jim's lion
21142346,B.P.R.D. Vol. 9: 1946,b.p.r.d. vol. 9: 1946
12226318,"Dungeons & Dragons, Volume 2: First Encounters","dungeons & dragons, volume 2: first encounters"
18259628,"Battlestar Galactica, Volume 1: Memorial","battlestar galactica, volume 1: memorial"
8860912,Doomwar,doomwar
20183084,Batman: The Dark Knight #13,batman: the dark knight #13
20631991,Era la guerra delle trincee,era la guerra delle trincee
20665534,Hawkeye #16,hawkeye #16
14472550,"The Lone Ranger, Vol. 5: Hard Country","the lone ranger, vol. 5: hard country"
35003710,Rat Queens (2017-) #3,rat queens (2017-) #3
32857889,"DC Universe: Rebirth, The Deluxe Edition","dc universe: rebirth, the deluxe edition"
2179167,Stan Lee Presents The Amazing Spider-Man (Reprints #1-6),stan lee presents the amazing spider-man (reprints #1-6)
17995218,Star Trek: The Stardate Collection Volume 1,star trek: the stardate collection volume 1
17995219,The Colonized,the colonized
2298481,Midnight Kiss,midnight kiss
35231123,The Amazing Spider-Man #530,the amazing spider-man #530
12534362,Král sjezdovky,král sjezdovky
420038,Deathblow: Sinners and Saints,deathblow: sinners and saints
25870762,Alien vs. Predator: Fire and Stone,alien vs. predator: fire and stone
12504952,Desert Warrior,desert warrior
2215022,This Book Contains Graphic Language: Comics as Literature,this book contains graphic language: comics as literature
3180314,Nyanyian Angsa Mari-Chan (1 - 4),nyanyian angsa mari-chan (1 - 4)
19469076,Ultimate Fantastic Four Vol.1: The Fantastic,ultimate fantastic four vol.1: the fantastic
22296321,East of West #12,east of west #12
17874429,Rachel Rising #1,rachel rising #1
35158011,The X-Files: Funko Universe,the x-files: funko universe
28695215,Head Lopper #3: The Sisters of the Hill,head lopper #3: the sisters of the hill
535224,Snoopy Features as Master of Disguise,snoopy features as master of disguise
23247947,"Buffy the Vampire Slayer: I Wish, Part 2 (Season 10, #7)","buffy the vampire slayer: i wish, part 2 (season 10, #7)"
2882716,"Blood+, Vol. 03 (Blood+, #3)","blood+, vol. 03 (blood+, #3)"
2882715,"Blood+, Vol. 02 (Blood+, #2)","blood+, vol. 02 (blood+, #2)"
9317112,Garfield   Whatever! (Garfield Pocket Books),garfield whatever! (garfield pocket books)
21823468,"Protectors, Inc., Volume 1","protectors, inc., volume 1"
21823469,"A Voice in the Dark, Volume 1","a voice in the dark, volume 1"
21823466,"Witchblade: Borne Again, Volume 1","witchblade: borne again, volume 1"
21823465,"Alex + Ada, Vol. 1","alex + ada, vol. 1"
15675,"Strangers in Paradise, Volume 18: Love & Lies","strangers in paradise, volume 18: love & lies"
3211393,Kid Beowulf and the Blood-Bound Oath,kid beowulf and the blood-bound oath
29603909,Carnage (2015-) #6,carnage (2015-) #6
6282354,"Manioka (Manioka, #1)","manioka (manioka, #1)"
35119313,Hibakusha,hibakusha
25736287,"Eva the Explorer: One Kawaii Auntie, Two Beautiful Countries","eva the explorer: one kawaii auntie, two beautiful countries"
3664344,"Black Superheroes, Milestone Comics","black superheroes, milestone comics"
916802,Big Beefy Book of Bart Simpson,big beefy book of bart simpson
22602417,Québec Land,québec land
703605,The Barefoot Serpent,the barefoot serpent
26082218,Marvels: Eye of the Camera #6 (of 6),marvels: eye of the camera #6 (of 6)
11512577,Superman For Earth,superman for earth
5630014,Bringing Up Father Starring Maggie And Jiggs,bringing up father starring maggie and jiggs
8174569,"Ghost Projekt, Vol. 1","ghost projekt, vol. 1"
21408132,Magical Girl Apocalypse Vol. 2,magical girl apocalypse vol. 2
15894058,"Berserk, Vol. 36","berserk, vol. 36"
15894057,"The Savage Sword of Conan, Vol. 12","the savage sword of conan, vol. 12"
15894052,"Grandville Bête Noire (Grandville, #3)","grandville bête noire (grandville, #3)"
15894053,"Grendel Omnibus, Vol. 2: The Legacy","grendel omnibus, vol. 2: the legacy"
19081995,Charley's War Comic Part 1: 2nd - 15th June 1916: 23,charley's war comic part 1: 2nd - 15th june 1916: 23
10638896,Victorian Undead II: Sherlock Holmes vs. Dracula,victorian undead ii: sherlock holmes vs. dracula
8606096,"Pokémon Adventures, Vol. 10","pokémon adventures, vol. 10"
13414556,"Captain Disaster (Squish, #4)","captain disaster (squish, #4)"
18528878,Lobezno: Primera Clase,lobezno: primera clase
2687401,Batman: The Killing Joke,batman: the killing joke
6769469,Les Flammes du Bûcher (Borgia #3),les flammes du bûcher (borgia #3)
6338432,"Rockin' Heaven, Vol. 05","rockin' heaven, vol. 05"
6338433,"Rockin' Heaven, Vol. 02","rockin' heaven, vol. 02"
6338430,"Rockin' Heaven, Vol. 01","rockin' heaven, vol. 01"
6338437,Honey & Honey Drops #6,honey & honey drops #6
6338434,"Rockin' Heaven, Vol. 04","rockin' heaven, vol. 04"
2614077,Mutton Soup,mutton soup
2614075,"Johnny Mutton, He's So Him!","johnny mutton, he's so him!"
6132199,"The Golden Age Starman Archives, Vol. 2","the golden age starman archives, vol. 2"
2829373,Bedemandens datter,bedemandens datter
35489614,Ultimates 2 (2016-2017) #8,ultimates 2 (2016-2017) #8
6811130,Marvels: Eye of the Camera,marvels: eye of the camera
6074829,"All Star Batman and Robin, the Boy Wonder","all star batman and robin, the boy wonder"
8788143,"Superman: Mon-El, Vol. 1","superman: mon-el, vol. 1"
16089638,"Daisy Kutter: The Last Train (Daisy Cutter, #1)","daisy kutter: the last train (daisy cutter, #1)"
25417250,"Fear Itself: Nackte Angst (Die offizielle Marvel-Comic-Sammlung, #60)","fear itself: nackte angst (die offizielle marvel-comic-sammlung, #60)"
569721,"Tenshi Ja Nai!! (I'm No Angel), Volume 2","tenshi ja nai!! (i'm no angel), volume 2"
569720,"Tenshi Ja Nai!! (I'm No Angel), Volume 5","tenshi ja nai!! (i'm no angel), volume 5"
6636827,Das Geschenk Cäsars (Asterix #21),das geschenk cäsars (asterix #21)
12898900,"The Complete Peanuts, Vol. 17: 1983-1984","the complete peanuts, vol. 17: 1983-1984"
2284662,Psychic Academy 2 (Psychic Academy #2),psychic academy 2 (psychic academy #2)
10589077,Scratch9 Volume 1: Pet Project,scratch9 volume 1: pet project
8036465,Vermonia #3: Release of the Red Phoenix,vermonia #3: release of the red phoenix
7778742,"The Amazing Spider-Man: The Complete Clone Saga Epic, Vol. 2","the amazing spider-man: the complete clone saga epic, vol. 2"
18143852,Planet of the Apes: Cataclysm Vol. 3,planet of the apes: cataclysm vol. 3
13769,"Red River, Vol. 17 (Red River, #17)","red river, vol. 17 (red river, #17)"
18960566,Scooby-Doo Team-Up #1,scooby-doo team-up #1
18310233,Red String Omnibus 1,red string omnibus 1
25943157,Hellboy's World: Comics and Monsters on the Margins,hellboy's world: comics and monsters on the margins
282399,"Boys Over Flowers: Hana Yori Dango, Vol. 13 (Boys Over Flowers, #13)","boys over flowers: hana yori dango, vol. 13 (boys over flowers, #13)"
282396,"Hikaru no Go, Vol. 6: The Insei Exam (Hikaru no Go, #6)","hikaru no go, vol. 6: the insei exam (hikaru no go, #6)"
282395,"Hikaru no Go, Vol. 5: Start (Hikaru no Go, #5)","hikaru no go, vol. 5: start (hikaru no go, #5)"
282392,"Hikaru no Go, Vol. 3: Preliminary Scrimmage (Hikaru no Go, #3)","hikaru no go, vol. 3: preliminary scrimmage (hikaru no go, #3)"
282391,"Hikaru no Go, Vol. 2: First Battle (Hikaru no Go, #2)","hikaru no go, vol. 2: first battle (hikaru no go, #2)"
31816764,"Puella Magi Suzune Magica, Vol. 3","puella magi suzune magica, vol. 3"
20558794,solanin,solanin
20558792,The Invisible Man,the invisible man
24554880,Secret Six (2014-2016) #2,secret six (2014-2016) #2
24554882,"Batgirl #39 (The New 52 Batgirl, #39)","batgirl #39 (the new 52 batgirl, #39)"
24554884,Batman Detective Comics #39,batman detective comics #39
108065,Primal: From the Cradle to the Grave,primal: from the cradle to the grave
48706,Daisy Kutter: The Last Train,daisy kutter: the last train
2348385,"Claymore, Vol. 12: The Souls of the Fallen (Claymore, #12)","claymore, vol. 12: the souls of the fallen (claymore, #12)"
22068374,Il trono di spiedi,il trono di spiedi
17448901,Hellraiser: Collected Best II,hellraiser: collected best ii
12716677,Tinker Bell and Her Stories for a Rainy Day (Disney Fairies Graphic Novel Series #8),tinker bell and her stories for a rainy day (disney fairies graphic novel series #8)
6565407,X-Men: Manifest Destiny,x-men: manifest destiny
9754777,"Deadpool Corps, Volume 2: You Say You Want A Revolution","deadpool corps, volume 2: you say you want a revolution"
22111652,Blau ist eine warme Farbe: Das preisgekrönte Werk um ein Coming-Out,blau ist eine warme farbe: das preisgekrönte werk um ein coming-out
24809314,"Bleach, Vol. 63: Hear, Fear, Here","bleach, vol. 63: hear, fear, here"
27241285,"Doctor Who: Der zehnte Doktor, Bd. 1: Herrschaft des Schreckens","doctor who: der zehnte doktor, bd. 1: herrschaft des schreckens"
2313192,"Le Magicien D'oz (Tome, #3)","le magicien d'oz (tome, #3)"
6599455,If You Were Here Vol. 8,if you were here vol. 8
2313195,Le Magicien d'Oz (Tome #1),le magicien d'oz (tome #1)
23110485,悪魔は囁く [Akuma wa Sasayaku],悪魔は囁く [akuma wa sasayaku]
1819845,"The Queen's Knight, Volume 2","the queen's knight, volume 2"
12708253,"Happy Hooligan, 1904-1905","happy hooligan, 1904-1905"
6460146,"Itazura Na Kiss, Volume 1 (Itazura Na Kiss, #1)","itazura na kiss, volume 1 (itazura na kiss, #1)"
6928777,Wasteland Book 5: Tales of the Uninvited,wasteland book 5: tales of the uninvited
18159853,Crimson Hero 紅色 Hero 19,crimson hero 紅色 hero 19
499573,Maus: Historia de un sobreviviente II: Y Aquí Comenzaron Mis Problemas,maus: historia de un sobreviviente ii: y aquí comenzaron mis problemas
25344180,Mortal Kombat X (2015-) #15,mortal kombat x (2015-) #15
4151049,"Youngblood, Vol. 1: Focus Tested","youngblood, vol. 1: focus tested"
32049165,Star Wars: The Force Awakens Adaptation #4 (of 6),star wars: the force awakens adaptation #4 (of 6)
31450718,The Wendy Project,the wendy project
6945367,Killer of Demons,killer of demons
16154905,"Dylan Dog n. 310: Io, il mostro","dylan dog n. 310: io, il mostro"
33023417,"La Bruja Escarlata, Vol. 1: La senda de las brujas","la bruja escarlata, vol. 1: la senda de las brujas"
1048050,"Saiyuki, Vol. 6","saiyuki, vol. 6"
1048052,"Saiyuki Reload, Volume 8","saiyuki reload, volume 8"
1435033,Season's Eatings: A Very Merry Garfield Christmas,season's eatings: a very merry garfield christmas
14976,"Return to Labyrinth, Vol. 1","return to labyrinth, vol. 1"
3349686,The Vampress Girls: City of the Lost Souls (Book 1),the vampress girls: city of the lost souls (book 1)
129030,"Wormwood: Gentleman Corpse, Vol. 1: Birds, Bees, Blood & Beer","wormwood: gentleman corpse, vol. 1: birds, bees, blood & beer"
25731328,私がモテてどうすんだ 6 [Watashi ga Motete Dousunda 6],私がモテてどうすんだ 6 [watashi ga motete dousunda 6]
15829792,3 Segundos,3 segundos
13260231,SPF 40,spf 40
1348630,"Essential Savage She-Hulk, Vol. 1","essential savage she-hulk, vol. 1"
33099010,The Force Oversleeps (Star Wars: Jedi Academy #5),the force oversleeps (star wars: jedi academy #5)
25677590,"Of the Red, the Light, and the Ayakashi, Vol. 1","of the red, the light, and the ayakashi, vol. 1"
25677593,"Secret, Vol. 3","secret, vol. 3"
15854674,History's Strongest Disciple Kenichi Volume 35,history's strongest disciple kenichi volume 35
92838,The Photoshop Book for Digital Photographers,the photoshop book for digital photographers
28597627,The Unbeatable Squirrel Girl Vol 2 #1,the unbeatable squirrel girl vol 2 #1
26210348,Age of Ultron vs. Marvel Zombies #4,age of ultron vs. marvel zombies #4
30685080,Octopus Pie Vol. 4,octopus pie vol. 4
6955083,Eyeshield 21 Vol. 30: This is Football,eyeshield 21 vol. 30: this is football
31742306,"Tiss du Bouclier (Nains, #5)","tiss du bouclier (nains, #5)"
5238493,Fx,fx
17393105,Evil Under the Sun,evil under the sun
2740974,"My Senior, 1-2","my senior, 1-2"
33321212,Slam Dunk Kanzenban 20,slam dunk kanzenban 20
1399380,Whose Child Is This?,whose child is this?
18960465,"Fashion Beast, vol. 3","fashion beast, vol. 3"
35665890,"Les mémoires de Vanitas, Tome 1","les mémoires de vanitas, tome 1"
18405541,Weapons of Mass Diplomacy,weapons of mass diplomacy
18405540,The Boxer: The True Story of Holocaust Survivor Harry Haft,the boxer: the true story of holocaust survivor harry haft
26867599,Fables: The Wolf Among Us #43,fables: the wolf among us #43
27875257,I figli del Capitano Grant,i figli del capitano grant
7190410,"Smurfin (Smurf, #5)","smurfin (smurf, #5)"
34510969,"Momo, tome 1 (Momo, #1)","momo, tome 1 (momo, #1)"
15706895,Le avventure di Luther Arkwright,le avventure di luther arkwright
10262519,Strontium Dog: Traitor To His Kind,strontium dog: traitor to his kind
36438270,Darkness Visible Vol. 1,darkness visible vol. 1
18943059,"Wife By Contract, Mistress By Demand","wife by contract, mistress by demand"
1849676,Justin Green's Binky Brown Sampler,justin green's binky brown sampler
33985811,The Totally Awesome Hulk (2015-) #15,the totally awesome hulk (2015-) #15
10237775,"Fell, Volume 2","fell, volume 2"
